time_s,ch0_uv,ch0_lead_off
0.000000,-1712.50,1
0.005556,-1712.50,1
0.011111,-1712.50,1
0.016667,-1712.50,1
0.022222,-1712.50,1
0.027778,-1712.50,1
0.033333,-1712.50,1
0.038889,-1712.50,1
0.044444,-1712.50,1
0.050000,-1712.50,1
0.055556,-1712.50,1
0.061111,-1712.50,1
0.066667,-1712.50,1
0.072222,-1712.50,1
0.077778,-450.00,0
0.083333,5087.50,0
0.088889,-8487.50,0
0.094444,-1712.50,1
0.100000,-9275.00,0
0.105556,7487.50,0
0.111111,5112.50,0
0.116667,-4912.50,0
0.122222,-1675.00,0
0.127778,15087.50,0
0.133333,5112.50,0
0.138889,13487.50,0
0.144444,-4287.50,0
0.150000,-1712.50,1
0.155556,8312.50,0
0.161111,5287.50,0
0.166667,-8487.50,0
0.172222,-1712.50,1
0.177778,21512.50,0
0.183333,7487.50,0
0.188889,5112.50,0
0.194444,-4912.50,0
0.200000,-2087.50,0
0.205556,12487.50,0
0.211111,5112.50,0
0.216667,-11512.50,0
0.222222,-1675.00,0
0.227778,-9512.50,0
0.233333,8312.50,0
0.238889,5287.50,0
0.244444,-3687.50,0
0.250000,-1712.50,1
0.255556,11712.50,0
0.261111,5137.50,0
0.266667,16712.50,0
0.272222,-4912.50,0
0.277778,-2075.00,0
0.283333,7287.50,0
0.288889,5112.50,0
0.294444,-8312.50,0
0.300000,-1625.00,0
0.305556,18687.50,0
0.311111,8312.50,0
0.316667,5687.50,0
0.322222,-4087.50,0
0.327778,-1712.50,1
0.333333,11712.50,0
0.338889,5175.00,0
0.344444,-11887.50,0
0.350000,-1712.50,1
0.355556,-6687.50,0
0.361111,7487.50,0
0.366667,5112.50,0
0.372222,-4912.50,0
0.377778,-1675.00,0
0.383333,11687.50,0
0.388889,5112.50,0
0.394444,17087.50,0
0.400000,-4287.50,0
0.405556,-1712.50,1
0.411111,8312.50,0
0.416667,5287.50,0
0.422222,-8487.50,0
0.427778,-1712.50,1
0.433333,18312.50,0
0.438889,7487.50,0
0.444444,5112.50,0
0.450000,-4912.50,0
0.455556,-2087.50,0
0.461111,12487.50,0
0.466667,5112.50,0
0.472222,-11512.50,0
0.477778,-1675.00,0
0.483333,-9112.50,0
0.488889,8312.50,0
0.494444,5287.50,0
0.500000,-3887.50,0
0.505556,-1712.50,1
0.511111,11712.50,0
0.516667,5137.50,0
0.522222,13512.50,0
0.527778,-4912.50,0
0.533333,-2075.00,0
0.538889,7287.50,0
0.544444,5112.50,0
0.550000,-8312.50,0
0.555556,-1625.00,0
0.561111,25287.50,0
0.566667,8312.50,0
0.572222,5687.50,0
0.577778,-4087.50,0
0.583333,-1712.50,1
0.588889,11712.50,0
0.594444,5175.00,0
0.600000,-11887.50,0
0.605556,-1712.50,1
0.611111,-9487.50,0
0.616667,7487.50,0
0.622222,5112.50,0
0.627778,-4912.50,0
0.633333,-1675.00,0
0.638889,11687.50,0
0.644444,5112.50,0
0.650000,16887.50,0
0.655556,-4287.50,0
0.661111,-1712.50,1
0.666667,8512.50,0
0.672222,5087.50,0
0.677778,-8487.50,0
0.683333,-1712.50,1
0.688889,18312.50,0
0.694444,7487.50,0
0.700000,5112.50,0
0.705556,-4912.50,0
0.711111,-1887.50,0
0.716667,12087.50,0
0.722222,5112.50,0
0.727778,-11512.50,0
0.733333,-1675.00,0
0.738889,-9112.50,0
0.744444,8312.50,0
0.750000,5287.50,0
0.755556,-3887.50,0
0.761111,-1712.50,1
0.766667,11712.50,0
0.772222,5137.50,0
0.777778,13312.50,0
0.783333,-4912.50,0
0.788889,-2075.00,0
0.794444,7487.50,0
0.800000,5112.50,0
0.805556,-8312.50,0
0.811111,-1625.00,0
0.816667,21687.50,0
0.822222,8312.50,0
0.827778,5887.50,0
0.833333,-4087.50,0
0.838889,-1712.50,1
0.844444,11512.50,0
0.850000,5162.50,0
